time,seconds_elapsed,z,y,x
1772462246254886700,0.09188671875,-0.08151040847301483,-0.05622216032769065,-0.0042112610194832084
1772462246264935400,0.101935302734375,0.03297112623155117,-0.04451979920072481,0.0004937383336946368
1772462246274983700,0.111983642578125,0.046887423381209374,-0.039320367394108324,-0.0057925388615578405
1772462246285031700,0.12203173828125,-0.01745382362604141,-0.04017995249866508,-0.02619129336569458
1772462246295079400,0.132079345703125,-0.07207505612969398,-0.029002281966083683,-0.039445893469918517
1772462246305127700,0.142127685546875,-0.05964987432062625,-0.017643048888095654,-0.03722520347945392
1772462246315175400,0.152175537109375,-0.010112813213467598,-0.016067109374841675,-0.03400576650891453
1772462246325223400,0.162223388671875,-0.012650807258486748,-0.012648199742869473,-0.02144453723002225
1772462246335271700,0.172271728515625,-0.05275134697854519,-0.025193446001340634,-0.01181081277038902
1772462246345319400,0.1823193359375,-0.03837853823304176,-0.0481919438082492,-0.028510438761953263
1772462246355368700,0.19236865234375,0.0017208324432373045,-0.055516569341602734,-0.01399701596936211
1772462246365416400,0.20241650390625,-0.00037467853128910064,-0.05309168941539246,0.010051949871703983
1772462246375464400,0.21246435546875,-0.012343348744511604,-0.05159491608557291,-0.004539068201743066
1772462246385512700,0.2225126953125,-0.020273557221889494,-0.051232896106457336,-0.02619562248094007
1772462246395560400,0.232560546875,-0.01593114410340786,-0.03212444627434015,-0.02382038124958053
1772462246405608700,0.242608642578125,-0.03388765655457973,-0.012287467538542114,-0.012765702342428267
1772462246415656400,0.252656494140625,-0.02715396438539028,-0.018177137498487716,-0.029698716964758932
1772462246425704400,0.262704345703125,-0.02760404624044895,-0.03287092639324255,-0.03224772559413686
1772462246435753500,0.27275341796875,-0.03119768681824207,-0.03478881577854045,-0.028993673967942595
1772462246445801500,0.282801513671875,-0.026861118918657303,-0.028799530502175912,-0.010537724094651639
1772462246455849700,0.292849609375,-0.026864041528105734,-0.03185676721490454,-0.012993410151079297
