time,seconds_elapsed,z,y,x
1772536303967442200,0.064442138671875,-0.99139404296875,-0.091339111328125,0.0230560302734375
1772536303977490700,0.07449072265625,-0.9956207275390625,-0.093017578125,0.0178070068359375
1772536303987539500,0.08453955078125,-0.9912261962890625,-0.095123291015625,0.0163421630859375
1772536303997587700,0.094587646484375,-0.9930419921875,-0.095001220703125,0.0229949951171875
1772536304007635700,0.1046357421875,-1.00439453125,-0.094940185546875,0.02105712890625
1772536304017684700,0.114684814453125,-1.0030517578125,-0.0960693359375,0.010955810546875
1772536304027732700,0.124732666015625,-0.9894866943359375,-0.09521484375,0.01226806640625
1772536304037780500,0.134780517578125,-0.9949188232421875,-0.0936431884765625,0.0211181640625
1772536304047829500,0.14482958984375,-1.0128021240234375,-0.0960845947265625,0.024078369140625
1772536304057877500,0.15487744140625,-1.008880615234375,-0.095977783203125,0.0148162841796875
1772536304067926500,0.164926513671875,-0.9944000244140625,-0.0890960693359375,0.0131683349609375
1772536304077974500,0.174974609375,-0.998260498046875,-0.0887298583984375,0.0186767578125
1772536304088022500,0.1850224609375,-1.00506591796875,-0.095184326171875,0.01995849609375
1772536304098071600,0.195071533203125,-1.0004730224609375,-0.0971832275390625,0.0169677734375
1772536304108119600,0.20511962890625,-0.9929656982421875,-0.096649169921875,0.016357421875
1772536304118167600,0.21516748046875,-0.9919281005859375,-0.098236083984375,0.018768310546875
1772536304128216600,0.225216552734375,-0.9991912841796875,-0.0972747802734375,0.020721435546875
1772536304138264600,0.2352646484375,-1.0039520263671875,-0.0940093994140625,0.01251220703125
1772536304148312600,0.2453125,-0.99542236328125,-0.0931549072265625,0.0052032470703125
1772536304158361600,0.255361572265625,-0.98529052734375,-0.090362548828125,0.01434326171875
1772536304168409600,0.26540966796875,-0.9959716796875,-0.0916595458984375,0.0170440673828125
1772536304178458600,0.275458740234375,-1.0054931640625,-0.0979461669921875,0.0155792236328125
1772536304188506600,0.285506591796875,-0.9998931884765625,-0.1013336181640625,0.0166015625
1772536304198554600,0.2955546875,-0.999603271484375,-0.0982818603515625,0.017730712890625
1772536304208603600,0.305603759765625,-0.9993896484375,-0.0967864990234375,0.01739501953125
1772536304218651600,0.315651611328125,-0.996337890625,-0.0981597900390625,0.01654052734375
1772536304228699600,0.32569970703125,-0.998504638671875,-0.0997772216796875,0.0154571533203125
1772536304238748700,0.335748779296875,-0.9994354248046875,-0.1007080078125,0.01287841796875
