time,seconds_elapsed,z,y,x
1772573096090396700,0.132396728515625,-0.7555999755859375,0.5309581756591797,0.18195760250091553
1772573096108231400,0.1502314453125,-1.0398445129394531,0.8086371421813965,-0.09048670530319214
1772573096126066000,0.16806591796875,0.554713249206543,-0.3108339309692383,-0.4354304075241089
1772573096143901400,0.1859013671875,1.8898019790649414,-1.2363436222076416,0.13597828149795532
1772573096161737000,0.203737060546875,0.6302576065063477,-0.3295869827270508,0.5863765478134155
1772573096179568600,0.221568603515625,-2.351052761077881,0.7482295036315918,-0.17243343591690063
1772573096197405700,0.23940576171875,-4.024933338165283,0.6727776527404785,-1.5068186521530151
1772573096215240200,0.257240234375,-2.8436427116394043,0.09054899215698242,-2.999063014984131
1772573096233074000,0.275073974609375,-1.0408134460449219,-0.4523601531982422,-3.930753707885742
1772573096250908400,0.292908447265625,-0.7644901275634766,-0.9030599594116211,-2.827030658721924
1772573096268743200,0.3107431640625,-1.1858816146850586,-1.2912180423736572,-1.1822798252105713
1772573096286578700,0.32857861328125,-1.190901756286621,-0.8548521995544434,-0.7571631669998169
1772573096304412400,0.346412353515625,-0.44751644134521484,-0.31490540504455566,0.1660868525505066
1772573096322247400,0.364247314453125,-0.5248594284057617,-0.23720860481262207,0.5006362199783325
1772573096340081700,0.38208154296875,-0.7112712860107422,-0.2874491214752197,0.4690178632736206
1772573096357917700,0.399917724609375,-1.1320209503173828,-0.4871242046356201,0.2681591510772705
1772573096375751400,0.41775146484375,-2.2167367935180664,-1.0828897953033447,-0.07198792695999146
1772573096393582800,0.435582763671875,-3.188049793243408,-0.9160110950469971,0.005332201719284058
1772573096411408000,0.453407958984375,-2.609335422515869,-0.48017430305480957,-1.0137460231781006
1772573096429256000,0.471255859375,-0.5609016418457031,-1.6321914196014404,-1.7099751234054565
1772573096447086000,0.489086181640625,1.464925765991211,-3.669506311416626,-1.8245025873184204
1772573096464924400,0.50692431640625,-1.2863655090332031,-5.353829860687256,0.3192886710166931
1772573096482758400,0.52475830078125,-2.596254348754883,-5.074409484863281,1.758326530456543
1772573096500595700,0.542595703125,4.187938690185547,-1.3538639545440674,2.578007698059082
1772573096518428200,0.56042822265625,-0.696446418762207,2.2815535068511963,1.4286046028137207
1772573096536263400,0.578263427734375,-2.572786331176758,4.920088768005371,-1.7327359914779663
1772573096554097700,0.59609765625,-0.5226202011108398,4.749236583709717,-1.5369783639907837
1772573096571933200,0.61393310546875,6.276239395141602,6.020601749420166,0.3786363899707794
1772573096589766400,0.631766357421875,12.560758590698242,3.31186580657959,-0.2480502426624298
1772573096607600000,0.64960009765625,12.831064224243164,1.0452518463134766,-1.102693796157837
1772573096625437400,0.6674375,9.788185119628906,4.121070384979248,-0.21272054314613342
1772573096643272200,0.685272216796875,7.465951919555664,3.0813326835632324,0.7412242293357849
1772573096661105400,0.70310546875,7.363832473754883,2.384089469909668,-0.005404025316238403
1772573096678940000,0.72093994140625,13.903022766113281,0.5277228355407715,0.6087881326675415
1772573096696774700,0.738774658203125,12.110081672668457,1.3466014862060547,1.3288081884384155
1772573096714610200,0.756610107421875,4.812273025512695,5.052400588989258,2.199453353881836
1772573096732431600,0.774431640625,-2.0541324615478516,1.859184741973877,0.5772037506103516
1772573096750278400,0.7922783203125,-5.398881435394287,0.16090965270996094,-1.1531660556793213
1772573096768113000,0.81011279296875,-6.450209617614746,0.28104686737060547,-0.7719014286994934
1772573096785949000,0.827948974609375,-4.800921440124512,0.49718666076660156,0.8910733461380005
1772573096803782700,0.84578271484375,-3.838345527648926,0.4646139144897461,2.391008138656616
1772573096821617400,0.863617431640625,-5.246662139892578,-0.3725309371948242,2.3340868949890137
1772573096839452000,0.881451904296875,-6.955405235290527,-1.0066838264465332,1.054088830947876
1772573096857287400,0.899287353515625,-7.933682918548584,-1.5559477806091309,-0.138299822807312
1772573096875121400,0.917121337890625,-7.4583940505981445,-2.2947847843170166,-0.7212356328964233
1772573096892955600,0.93495556640625,-4.888047218322754,-1.787555456161499,-0.9981874227523804
1772573096910790700,0.952790771484375,-3.3856544494628906,-1.5116910934448242,-0.7109732031822205
1772573096928614000,0.97061376953125,-3.4244203567504883,-1.3323264122009277,-0.40808039903640747
1772573096946460000,0.9884599609375,-5.142373085021973,-1.0648809671401978,-0.07982082664966583
1772573096964294700,1.006294677734375,-6.160826206207275,-0.9080181121826172,-0.04934164136648178
1772573096982129400,1.02412939453125,-4.65975284576416,-1.806576132774353,-0.41107118129730225
1772573096999964700,1.041964599609375,-4.395546913146973,-2.3743996620178223,-0.7572230696678162
1772573097017798400,1.05979833984375,-5.222996234893799,-2.260652780532837,-0.9782791137695312
1772573097035633200,1.077633056640625,-5.977691650390625,-2.0464556217193604,-0.8454380631446838
1772573097053467400,1.09546728515625,-6.252776622772217,-1.895371913909912,-1.0357228517532349
1772573097071303400,1.113303466796875,-4.439425468444824,-2.4553375244140625,-1.1237664222717285
1772573097089137000,1.131136962890625,-1.7133865356445312,-3.7498016357421875,-1.5882453918457031
1772573097106972000,1.148971923828125,-0.10863208770751953,-2.860443115234375,-2.7435035705566406
1772573097124807000,1.166806884765625,-1.700554370880127,-1.1229238510131836,-2.565152168273926
1772573097142641700,1.1846416015625,-4.403484344482422,1.7658801078796387,-0.5212365388870239
1772573097160476200,1.20247607421875,1.7598628997802734,1.0637285709381104,-0.5242607593536377
1772573097178310100,1.22031005859375,11.481829643249512,-1.6148476600646973,-3.7826130390167236
1772573097196144600,1.23814453125,9.523502349853516,0.04237937927246094,-3.587906837463379
1772573097213980700,1.255980712890625,4.506770133972168,4.13898229598999,-0.4421331286430359
1772573097231814100,1.273814208984375,5.485851287841797,4.732178688049316,-0.13163110613822937
1772573097249636400,1.29163623046875,9.10811710357666,2.926213264465332,-0.9682655334472656
1772573097267483600,1.309483642578125,8.755605697631836,3.4621315002441406,-0.7034837603569031
1772573097285318400,1.327318359375,7.317743301391602,4.5845255851745605,-0.3224635720252991
1772573097303153200,1.345153076171875,7.050509452819824,5.035167217254639,0.37731263041496277
1772573097320988400,1.362988525390625,7.828167915344238,4.407730579376221,-0.08943586051464081
1772573097338822100,1.380822265625,8.326799392700195,3.7795934677124023,0.24864566326141357
1772573097356658200,1.398658203125,8.358566284179688,3.6347811222076416,1.1065088510513306
1772573097374491600,1.41649169921875,4.886558532714844,2.96714448928833,0.6474106907844543
1772573097392326700,1.43432666015625,0.40320777893066406,1.2743895053863525,-0.8449033498764038
1772573097410161000,1.452160888671875,-2.6346583366394043,0.023767471313476562,-0.7196006178855896
1772573097427996700,1.46999658203125,-4.217855930328369,-0.8986341953277588,0.28321850299835205
1772573097445830400,1.487830322265625,-4.155338764190674,-1.3893530368804932,1.204984426498413
1772573097463665200,1.5056650390625,-2.7848520278930664,-1.566706895828247,1.6536649465560913
1772573097481488400,1.52348828125,-2.1450462341308594,-2.003063917160034,0.7086642980575562
