time,seconds_elapsed,z,y,x
1772536702328284200,0.0502841796875,-0.08121415972709656,-0.049367550760507584,0.1186281144618988
1772536702338333400,0.06033349609375,-0.11566774547100067,-0.0839119479060173,0.005875998642295599
1772536702348381200,0.070381103515625,-0.14878308773040771,-0.11050201207399368,-0.11330685019493103
1772536702358430500,0.080430419921875,-0.17333637177944183,-0.110825315117836,-0.21337085962295532
1772536702368479500,0.0904794921875,-0.20262686908245087,-0.09391983598470688,-0.28724268078804016
1772536702378527500,0.100527587890625,-0.2156401425600052,-0.09694119542837143,-0.3333337604999542
1772536702388576300,0.110576171875,-0.209059476852417,-0.12253789603710175,-0.3509271442890167
1772536702398625300,0.120625244140625,-0.18896539509296417,-0.14672605693340302,-0.33947500586509705
1772536702408673000,0.130673095703125,-0.15083132684230804,-0.16457189619541168,-0.31325697898864746
1772536702418721800,0.1407216796875,-0.09898197650909424,-0.15290433168411255,-0.2694421112537384
1772536702428770000,0.15077001953125,-0.047017041593790054,-0.10073992609977722,-0.21349257230758667
1772536702438818800,0.16081884765625,-0.01047421246767044,-0.05089886859059334,-0.1669117510318756
1772536702448868000,0.1708681640625,0.016262326389551163,-0.026084598153829575,-0.15063850581645966
1772536702458915800,0.180915771484375,0.037219539284706116,-0.0272073857486248,-0.15531422197818756
1772536702468965000,0.190965087890625,0.04645165428519249,-0.05582518130540848,-0.1839197725057602
1772536702479014000,0.201013916015625,0.03632818162441254,-0.11955969035625458,-0.2232906073331833
1772536702489062100,0.211062255859375,0.01525591779500246,-0.21782153844833374,-0.2617748975753784
1772536702499111000,0.22111083984375,-0.011152253486216068,-0.30857595801353455,-0.2682974934577942
1772536702509159200,0.2311591796875,-0.0385173000395298,-0.3615153133869171,-0.2563715875148773
1772536702519208000,0.2412080078125,-0.06416540592908859,-0.3713189661502838,-0.23498187959194183
1772536702529257000,0.251257080078125,-0.08130710572004318,-0.34979742765426636,-0.21732352674007416
1772536702539305000,0.261304931640625,-0.0896712988615036,-0.30039578676223755,-0.20054136216640472
1772536702549354000,0.27135400390625,-0.08622383326292038,-0.2311818152666092,-0.19158434867858887
1772536702559403000,0.281403076171875,-0.0901128500699997,-0.1552726775407791,-0.19758684933185577
1772536702569451000,0.291450927734375,-0.09467244893312454,-0.09916573017835617,-0.2084067314863205
1772536702579500000,0.3015,-0.1012246236205101,-0.055802278220653534,-0.22469009459018707
1772536702589548000,0.311548095703125,-0.1021769717335701,-0.012223110534250736,-0.2418999820947647
1772536702599597000,0.32159716796875,-0.10120224952697754,0.020130302757024765,-0.2563692033290863
1772536702609646000,0.33164599609375,-0.1009545773267746,0.02045893669128418,-0.257882684469223
1772536702619694000,0.341694091796875,-0.0981537327170372,0.0014623417519032955,-0.25646933913230896
1772536702629743000,0.3517431640625,-0.11179390549659729,-0.039690688252449036,-0.2500750720500946
1772536702639791900,0.3617919921875,-0.08380435407161713,-0.06603734195232391,-0.22312922775745392
1772536702649840000,0.371840087890625,-0.0404379703104496,-0.06902540475130081,-0.1731044054031372
